1,Porsche,2023,45000.0,AA 2222 GG,100.5,2025,10,3
2,BMW,2007,13450.0,BC 9147 OP,99.6,2024,5,10
3,Mazda,2025,65000.0,AN 7777 KT,1400.4,2024,12,8
4,Ford,2014,11420.0,AC 8888 KT,653.9,2025,1,22
5,Range Rover,2019,34600.0,AA 3281 KT,555.5,2024,4,28
6,Porsche,2023,12040.0,BE 8132 KF,167.9,2023,9,19
7,BMW,2011,87000.0,CB 4797 PO,198.6,2024,1,22
8,Mazda,2009,100003.0,CC 8132 TK,2400.1,2025,2,28
9,Mazda,2006,87300.0,CV 8199 NT,959.9,2024,11,19
10,Ford,2022,9999.0,VV 2817 MM,456.7,2023,2,2
11,Ford,2020,4560.0,BG 2831 NE,567.8,2024,8,17
12,BMW,2013,43000.0,CC 9999 CC,9101.9,2023,5,9
13,Porsche,2012,65000.0,ME 2018 MP,110.0,2024,4,26
14,Porsche,2015,91200.0,CE 5312 TT,777.6,2024,12,29
96,10,10,10.0,be3333ve,10.0,2010,10,10
